College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,image
Indian Institute of Technology Madras ,Tamil nadu,Engineering,"75,116","23,070",8.7,9,7.9,8.7,8.8,8.8,9,/images/Indian_Institute_of_Technology_Madras.png
"College of Engineering, Anna University ",Tamil nadu,Engineering,"50,000","50,000",8.4,8.7,7.7,8.1,8.7,8.3,8.7,"/images/College_of_Engineering,_Anna_University.png"
"NIT Trichy, Tiruchirappalli ",Tamil nadu,Engineering,"1,49,250","99,250",8.5,8.6,7.8,8.2,8.7,8.8,8.7,"/images/NIT_Trichy,_Tiruchirappalli.png"
Vellore Institute of Technology ,Tamil nadu,Engineering,"1,98,000","1,83,000",8.3,8.3,8,7.8,8.9,8.5,8.5,/images/Vellore_Institute_of_Technology.png
"SRM Engineering College, Kanchipuram ",Tamil nadu,Engineering,"2,60,000","1,70,000",7.2,6.5,6.6,6.9,7.6,7.1,8.3,"/images/SRM_Engineering_College,_Kanchipuram.png"
SSN College of Engineering ,Tamil nadu,Engineering,"50,000","50,000",8.6,8.9,7.6,8.7,9.1,8.3,8.8,/images/SSN_College_of_Engineering.png
"SASTRA University, Thanjavur ",Tamil nadu,Engineering,"1,67,000","1,57,000",8.1,8.5,7,8.2,8.3,8.7,8.1,"/images/SASTRA_University,_Thanjavur.png"
P.S.G College of Technology ,Tamil nadu,Engineering,"87,000","1,54,000",9,9.2,8.7,8.9,9,9.1,8.8,/images/P.S.G_College_of_Technology.png
Thiagarajar College of Engineering ,Tamil nadu,Engineering,"50,000","50,000",8.6,8.9,7.9,8.6,8.6,8.7,8.6,/images/Thiagarajar_College_of_Engineering.png
Coimbatore Institute of Technology ,Tamil nadu,Engineering,"23,670","1,32,710",8,8.5,6.8,8.2,7.4,8.4,8.5,/images/Coimbatore_Institute_of_Technology.png
Karunya Institute of Technology and Sciences ,Tamil nadu,Engineering,"2,13,500","1,21,500",7.9,7.9,7.9,7.9,8.5,7.5,7.4,/images/Karunya_Institute_of_Technology_and_Sciences.png
Kumaraguru College of Technology ,Tamil nadu,Engineering,"50,000","50,000",8.2,8.3,7.6,8,8.8,7.9,8.5,/images/Kumaraguru_College_of_Technology.png
"VEL Tech, Chennai ",Tamil nadu,Engineering,"50,000",--,8.2,8.5,8.5,8.1,7.8,8.3,8.1,"/images/VEL_Tech,_Chennai.png"
"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,Engineering,"1,34,000","1,04,150",8.1,8.5,8.1,8.3,8.6,7.9,7,"/images/Mepco_Schlenk_Engineering_College,_Sivakasi.png"
Government College of Technology ,Tamil nadu,Engineering,"9,180","10,110",8.1,8.4,7.1,8.3,8,8,8.8,/images/Government_College_of_Technology.png
Hindustan Institute of Technology and Science ,Tamil nadu,Engineering,"2,29,500","1,25,500",7.6,7.8,6.9,7.8,7.9,6.9,8,/images/Hindustan_Institute_of_Technology_and_Science.png
Sri Krishna College of Engineering and Technology ,Tamil nadu,Engineering,"50,000","50,000",8.1,8.2,7.4,8.2,9,8.2,7.7,/images/Sri_Krishna_College_of_Engineering_and_Technology.png
Kongu Engineering College ,Tamil nadu,Engineering,"60,000","65,000",8.3,8.3,7.7,8.3,8.9,8.3,8.3,/images/Kongu_Engineering_College.png
Bannari Amman Institute of Technology ,Tamil nadu,Engineering,"60,000","35,000",8.3,8.2,8.1,8,9.1,8.1,8.2,/images/Bannari_Amman_Institute_of_Technology.png
"Sona College of Technology, Salem ",Tamil nadu,Engineering,"2,00,000","2,29,000",8.1,8.5,7.3,8.3,8.3,7.9,8.5,"/images/Sona_College_of_Technology,_Salem.png"
Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,Engineering,"21,415","33,325",8.3,8.4,8,8.4,8.2,8.2,8.4,/images/Tamil_Nadu_Veterinary_and_Animal_Sciences_University.png
"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,Engineering,"60,000","65,000",8,7,--,--,9,8,--,"/images/St._Joseph_College_Of_Engineering,_Kanchipuram.png"
Saveetha Engineering College ,Tamil nadu,Engineering,"85,000","60,000",8,8.1,7.3,8.1,8.6,7.7,7.9,/images/Saveetha_Engineering_College.png
"Sri Sairam Engineering College, Chennai ",Tamil nadu,Engineering,"50,000","25,000",7.7,8.4,7.3,7.9,8.2,7.9,6.7,"/images/Sri_Sairam_Engineering_College,_Chennai.png"
B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,Engineering,"85,000","40,000",8.2,8.4,7.8,8.3,8.7,7.7,8.2,/images/B.S._Abdur_Rahman_Crescent_Institute_of_Science.png
Sri Ramakrishna Engineering College ,Tamil nadu,Engineering,"55,000","60,000",8.1,8.4,7.7,8,8.3,8.3,8,/images/Sri_Ramakrishna_Engineering_College.png
Rajalakshmi Engineering College ,Tamil nadu,Engineering,"50,000","50,000",7.8,8.1,6.3,8.1,8,8.3,7.7,/images/Rajalakshmi_Engineering_College.png
Sri Venkateswara College of Engineering ,Tamil nadu,Engineering,"65,000","60,000",8.2,8.4,7.4,8.4,8.6,8.1,8,/images/Sri_Venkateswara_College_of_Engineering.png
IIT Bombay ,Maharashtra,Engineering,"2,28,000","32,000",8.9,9.3,7.9,8.7,8.9,9.1,9.2,/images/IIT_Bombay.png
Institute of Chemical Technology ,Maharashtra,Engineering,"85,350","70,750",8.7,9.1,8.1,8.9,8.7,8.4,9.1,/images/Institute_of_Chemical_Technology.png
Visvesvaraya National Institute of Technology ,Maharashtra,Engineering,"1,49,200","93,600",8.1,8.3,7.5,8,8.4,7.7,8.7,/images/Visvesvaraya_National_Institute_of_Technology.png
College of Engineering ,Maharashtra,Engineering,"40,500","64,500",8.6,8.7,8.2,8.1,8.5,8.7,9.1,/images/College_of_Engineering.png
Defence Institute of Advanced Technology ,Maharashtra,Engineering,"1,53,600","45,000",8.8,9,8.6,8.8,9,8.6,8.6,/images/Defence_Institute_of_Advanced_Technology.png
National Institute of Industrial Engineering ,Maharashtra,Engineering,"5,98,000","1,04,000",9,9,9,9,9,9.3,8.6,/images/National_Institute_of_Industrial_Engineering.png
Army Institute of Technology ,Maharashtra,Engineering,"1,80,197","1,20,560",8.3,8,8.5,7.6,7.9,8.7,9,/images/Army_Institute_of_Technology.png
Bharati Vidyapeeth Deemed University ,Maharashtra,Engineering,"1,20,000","50,000",7.8,8.1,6.8,7.9,8.1,7.7,8.2,/images/Bharati_Vidyapeeth_Deemed_University.png
Veermata Jijabai Technological Institute ,Maharashtra,Engineering,"84,051","83,734",7.9,8.2,7.2,7.8,7.1,8.7,8.4,/images/Veermata_Jijabai_Technological_Institute.png
GH Raisoni College of Engineering ,Maharashtra,Engineering,"5,60,000","1,32,000",8.4,8.5,8,8.4,8.5,8,8.8,/images/GH_Raisoni_College_of_Engineering.png
Mukesh Patel School of Technology Management and ,Maharashtra,Engineering,"4,52,000","5,01,500",8.2,8.1,8,7.8,8.7,8.1,8.3,/images/Mukesh_Patel_School_of_Technology_Management_and.png
Sardar Patel Institute of Technology ,Maharashtra,Engineering,"1,70,000","1,68,000",8.1,8.4,6.9,7.9,8.3,9.1,8.1,/images/Sardar_Patel_Institute_of_Technology.png
Shri Ramdeobaba College of Engineering and Management ,Maharashtra,Engineering,"1,45,000","1,25,000",8.1,8.3,7.6,8,7.9,8.3,8.2,/images/Shri_Ramdeobaba_College_of_Engineering_and_Management.png
Rashtrasant Tukadoji Maharaj Nagpur University ,Maharashtra,Engineering,"33,600","60,000",7.5,8,7.2,7.7,7.9,6.9,7.4,/images/Rashtrasant_Tukadoji_Maharaj_Nagpur_University.png
Yeshwantrao Chavan College of Engineering ,Maharashtra,Engineering,"1,51,801","1,53,328",7.6,7.7,7,7.6,8.2,7.2,7.6,/images/Yeshwantrao_Chavan_College_of_Engineering.png
Walchand College of Engineering ,Maharashtra,Engineering,"84,935","96,550",8.3,8.4,7.3,8.3,8.4,8.8,8.4,/images/Walchand_College_of_Engineering.png
MIT World Peace University ,Maharashtra,Engineering,"3,10,000","1,90,000",8,8.1,7,8,8.5,7.7,8.4,/images/MIT_World_Peace_University.png
Vishwakarma Institute of Information Technology ,Maharashtra,Engineering,"1,64,000","78,000",7.8,8.2,6.8,8.1,7.4,8,8.1,/images/Vishwakarma_Institute_of_Information_Technology.png
Ramrao Adik Institute of Technology ,Maharashtra,Engineering,"3,25,000","1,50,000",8.6,8.2,8,8.1,9,8.7,9.3,/images/Ramrao_Adik_Institute_of_Technology.png
Sardar Patel College of Engineering ,Maharashtra,Engineering,"1,70,000","1,68,000",8,8.3,7.2,7.9,8,8.1,8.2,/images/Sardar_Patel_College_of_Engineering.png
K. J. Somaiya College of Engineering ,Maharashtra,Engineering,"2,86,000","1,96,800",8.2,8.2,8,7.7,8.7,8,8.5,/images/K._J._Somaiya_College_of_Engineering.png
Pimpri Chinchwad College of Engineering ,Maharashtra,Engineering,"1,38,559","1,07,687",8.1,8.7,7.6,8.1,7.9,8.6,7.5,/images/Pimpri_Chinchwad_College_of_Engineering.png
"MKSSS's Cummins College of Engineering for Women, ",Maharashtra,Engineering,"1,80,836","1,55,200",8.3,8.3,8,8.1,7.8,9,8.6,"/images/MKSSS's_Cummins_College_of_Engineering_for_Women,.png"
Dwarkadas J Sanghvi College of Engineering ,Maharashtra,Engineering,"1,94,000","1,39,000",8.2,8.2,7.7,8.2,8.4,8.3,8.2,/images/Dwarkadas_J_Sanghvi_College_of_Engineering.png
Thakur College of Engineering and Technology ,Maharashtra,Engineering,"1,47,500","1,36,931",8.2,8.1,8,7.9,9.1,7.9,8.4,/images/Thakur_College_of_Engineering_and_Technology.png
SVKM's Narsee Monjee Institute of Management Studies ,Maharashtra,Engineering,"3,02,000",--,8.2,8.5,6.8,8.6,8.3,8.3,8.7,/images/SVKM's_Narsee_Monjee_Institute_of_Management_Studies.png
"Amity University, Mumbai ",Maharashtra,Engineering,"2,22,000","1,50,000",8.1,7.9,7.6,8.2,8.4,7.8,8.6,"/images/Amity_University,_Mumbai.png"
"Vishwakarma Institute of Technology, Pune ",Maharashtra,Engineering,"1,79,895","88,765",7.5,8.1,6.5,7.9,6.5,7.8,8.4,"/images/Vishwakarma_Institute_of_Technology,_Pune.png"
Indian Institute of Information Technology Mumbai,Maharashtra,Engineering,"2,34,500","1,00,500",7.8,8.2,7.5,8,7.2,8.4,7.5,/images/Indian_Institute_of_Information_Technology_Mumbai.png
Tata Institute of Social Sciences ,Maharashtra,Engineering,--,--,8.6,9,8.1,8.9,8.6,8.4,8.6,/images/Tata_Institute_of_Social_Sciences.png
Indian Institute of Technology Kanpur,Uttar pradesh,Engineering,"2,15,600","2,14,050",8.9,9.1,8.4,8.7,9.3,8.9,9.1,/images/Indian_Institute_of_Technology_Kanpur.png
Indian Institute of Technology BHU,Uttar pradesh,Engineering,"84,981","36,815",8.5,8.5,8.2,8.1,7.6,9.1,9.2,/images/Indian_Institute_of_Technology_BHU.png
"Amity University, Noida ",Uttar pradesh,Engineering,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7,"/images/Amity_University,_Noida.png"
Aligarh Muslim University ,Uttar pradesh,Engineering,"2,69,445","4,30,970",8.3,8.8,7.9,8.5,8.8,7.2,8.6,/images/Aligarh_Muslim_University.png
MNNIT Allahabad ,Uttar pradesh,Engineering,"84,666","1,18,000",8,8.4,7.3,7.8,7.1,8.9,8.2,/images/MNNIT_Allahabad.png
Jaypee Institute of Information Technology University ,Uttar pradesh,Engineering,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7,/images/Jaypee_Institute_of_Information_Technology_University.png
Indian Institute of Information Technology Lucknow,Uttar pradesh,Engineering,"1,04,000","2,80,400",8.3,8.4,7.4,7.6,9,9.2,8.1,/images/Indian_Institute_of_Information_Technology_Lucknow.png
"Dayalbagh Educational Institute Faculty of Engineering, Agra ",Uttar pradesh,Engineering,"51,300","26,500",8,8.3,7.1,8.5,8.1,8.2,8,"/images/Dayalbagh_Educational_Institute_Faculty_of_Engineering,_Agra.png"
Sharda University ,Uttar pradesh,Engineering,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6,/images/Sharda_University.png
Galgotias University ,Uttar pradesh,Engineering,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8,/images/Galgotias_University.png
"Bennett University, Greater Noida ",Uttar pradesh,Engineering,"3,50,000","60,000",8.6,8.5,7.9,8.8,9.2,8.3,8.6,"/images/Bennett_University,_Greater_Noida.png"
Shiv Nadar University ,Uttar pradesh,Engineering,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4,/images/Shiv_Nadar_University.png
"Integral University, Lucknow ",Uttar pradesh,Engineering,"1,40,000","80,000",7.4,7.6,7.3,7.4,8,6.5,7.4,"/images/Integral_University,_Lucknow.png"
J.S. University ,Uttar pradesh,Engineering,"47,500","13,500",8.5,8.5,7.8,8.7,9,8.2,8.6,/images/J.S._University.png
"GLA University, Mathura ",Uttar pradesh,Engineering,"1,78,000","75,000",8.2,8.2,7.9,8.3,8.3,8.2,8.1,"/images/GLA_University,_Mathura.png"
Institute of Engineering and Technology ,Uttar pradesh,Engineering,"89,775","73,200",7.4,7.6,7.7,7,7.3,7,7.8,/images/Institute_of_Engineering_and_Technology.png
Sanskriti University ,Uttar pradesh,Engineering,"1,15,000","45,000",7,7.2,6.7,7,7.5,6.9,6.8,/images/Sanskriti_University.png
"Monad University, Hapur ",Uttar pradesh,Engineering,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1,"/images/Monad_University,_Hapur.png"
Indian Institute of Information Technology Allahabad,Uttar pradesh,Engineering,"2,18,700","2,18,700",7.8,7.6,7.2,7.4,6.8,9.4,8.1,/images/Indian_Institute_of_Information_Technology_Allahabad.png
"IFTM University, Moradabad ",Uttar pradesh,Engineering,"1,07,000","75,000",7.8,7.9,7.5,8.1,8,6.8,8.3,"/images/IFTM_University,_Moradabad.png"
"Shobhit University, Meerut ",Uttar pradesh,Engineering,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9,"/images/Shobhit_University,_Meerut.png"
"Glocal University, Saharanpur ",Uttar pradesh,Engineering,"1,44,000","94,000",7.1,7.5,6.9,7,6.7,7.2,7.3,"/images/Glocal_University,_Saharanpur.png"
"Rama University, Kanpur ",Uttar pradesh,Engineering,"90,000","75,000",6.7,6.6,6.1,7.3,6.5,6.6,7.1,"/images/Rama_University,_Kanpur.png"
Noida Institute of Engineering and Technology ,Uttar pradesh,Engineering,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1,/images/Noida_Institute_of_Engineering_and_Technology.png
"ABES Engineering College, Ghaziabad ",Uttar pradesh,Engineering,"1,43,700","1,30,000",7.9,8.1,7.2,8.1,8.2,7.8,8,"/images/ABES_Engineering_College,_Ghaziabad.png"
Bundelkhand Institute of Engineering & Technology ,Uttar pradesh,Engineering,"61,800","59,300",7.1,7.3,7,6.9,7.4,6.2,8,/images/Bundelkhand_Institute_of_Engineering_&_Technology.png
Harcourt Butler Technological University ,Uttar pradesh,Engineering,"1,35,000","83,300",7.3,7.5,6.9,7.4,6.5,7.8,7.8,/images/Harcourt_Butler_Technological_University.png
Rajiv Gandhi Institute of Petroleum Technology ,Uttar pradesh,Engineering,"2,21,100","42,100",8.6,8.7,8.6,8.2,9.2,8.2,8.6,/images/Rajiv_Gandhi_Institute_of_Petroleum_Technology.png
Indian Institute of Technology Delhi,Delhi ncr,Engineering,"2,20,300","1,32,900",8.7,9,7.8,8.7,8.9,9,9,/images/Indian_Institute_of_Technology_Delhi.png
"Jamia Millia Islamia University-[JMI], New Delhi ",Delhi ncr,Engineering,"16,150","8,970",8,8.4,7.6,8.3,8.4,7.2,8.2,"/images/Jamia_Millia_Islamia_University-[JMI],_New_Delhi.png"
Delhi Technological University ,Delhi ncr,Engineering,"1,90,000","1,66,000",8.2,7.9,7.6,7.5,8.6,8.6,8.8,/images/Delhi_Technological_University.png
"Amity University, Noida ",Delhi ncr,Engineering,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7,"/images/Amity_University,_Noida.png"
Indraprastha Institute of Information Technology ,Delhi ncr,Engineering,"3,60,000","1,00,000",8.7,8.8,8.7,8.9,8.9,8.6,8.2,/images/Indraprastha_Institute_of_Information_Technology.png
Guru Gobind Singh Indraprastha University ,Delhi ncr,Engineering,"1,17,200","23,000",7.8,8.1,7.5,8,8.1,6.9,8.1,/images/Guru_Gobind_Singh_Indraprastha_University.png
Jaypee Institute of Information Technology University ,Delhi ncr,Engineering,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7,/images/Jaypee_Institute_of_Information_Technology_University.png
National Institute of Food Technology Entrepreneurship and ,Delhi ncr,Engineering,"1,71,550","1,52,950",8.1,8.5,7.1,6.9,9.4,8.5,7.9,/images/National_Institute_of_Food_Technology_Entrepreneurship_and.png
"School of Engineering and Technology, NCU ",Delhi ncr,Engineering,"2,60,000","82,000",9,9,--,--,9,--,--,"/images/School_of_Engineering_and_Technology,_NCU.png"
"J.C. Bose University Of Science And Technology, ",Delhi ncr,Engineering,"83,625","83,625",7.3,7.7,6.5,7.4,6.6,7.7,7.6,"/images/J.C._Bose_University_Of_Science_And_Technology,.png"
Indira Gandhi Delhi Technical University For Women ,Delhi ncr,Engineering,"88,000","33,000",7.6,7.7,7,7.6,6.9,8.3,7.9,/images/Indira_Gandhi_Delhi_Technical_University_For_Women.png
Manav Rachna International Institute Of Research And ,Delhi ncr,Engineering,"1,81,500","1,16,000",7.2,7.1,6.7,6.5,8.4,6.5,7.8,/images/Manav_Rachna_International_Institute_Of_Research_And.png
Sharda University ,Delhi ncr,Engineering,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6,/images/Sharda_University.png
Galgotias University ,Delhi ncr,Engineering,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8,/images/Galgotias_University.png
Netaji Subhas University of Technology ,Delhi ncr,Engineering,"1,90,000","1,20,000",7.8,7.9,7.1,7.6,7.6,8.9,7.9,/images/Netaji_Subhas_University_of_Technology.png
Shiv Nadar University ,Delhi ncr,Engineering,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4,/images/Shiv_Nadar_University.png
Manav Rachna International Institute of Research and ,Delhi ncr,Engineering,"1,81,500","1,65,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6,/images/Manav_Rachna_International_Institute_of_Research_and.png
National Institute of Technology Delhi,Delhi ncr,Engineering,"96,866","1,98,500",6.8,7.3,6,7.1,6,7.6,6.8,/images/National_Institute_of_Technology_Delhi.png
"Gurugram University, Gurgaon ",Delhi ncr,Engineering,"40,000",--,8.2,8.6,7.4,8.4,8.6,8,8.1,"/images/Gurugram_University,_Gurgaon.png"
Chhotu Ram Rural Institute Of Technology ,Delhi ncr,Engineering,"33,450","33,450",8.4,8.7,8.1,8.4,8.7,8.1,8.2,/images/Chhotu_Ram_Rural_Institute_Of_Technology.png
SunRise University ,Delhi ncr,Engineering,"72,200","32,200",8.1,8.1,7.3,8.7,8.1,7.9,8.4,/images/SunRise_University.png
"Monad University, Hapur ",Delhi ncr,Engineering,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1,"/images/Monad_University,_Hapur.png"
"Amity University, Gurgaon ",Delhi ncr,Engineering,"2,30,000","1,56,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1,"/images/Amity_University,_Gurgaon.png"
"Shobhit University, Meerut ",Delhi ncr,Engineering,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9,"/images/Shobhit_University,_Meerut.png"
Indraprastha Institute of Technology and Management ,Delhi ncr,Engineering,"1,25,000",--,8.3,8.3,8,8.7,7.8,8.7,8.5,/images/Indraprastha_Institute_of_Technology_and_Management.png
Maharaja Agrasen Institute of Technology ,Delhi ncr,Engineering,"1,43,200",--,7.5,7.8,7.2,7.7,7.5,7.5,7.4,/images/Maharaja_Agrasen_Institute_of_Technology.png
Maharaja Surajmal Institute of Technology ,Delhi ncr,Engineering,"1,35,300",--,7.3,7.9,6.7,7.5,6.8,7.7,7.1,/images/Maharaja_Surajmal_Institute_of_Technology.png
Noida Institute of Engineering and Technology ,Delhi ncr,Engineering,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1,/images/Noida_Institute_of_Engineering_and_Technology.png
K L University ,Andhra pradesh,Engineering,"2,50,000","1,45,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2,/images/K_L_University.png
"Andhra University, College of Engineering ",Andhra pradesh,Engineering,"10,000","1,09,000",7.7,8.2,6.9,7.8,8,7.2,7.9,"/images/Andhra_University,_College_of_Engineering.png"
"Sri Venkateswara University College of Engineering, Tirupati ",Andhra pradesh,Engineering,"16,395","31,647",7.8,7.6,8.4,7.4,8.1,6.9,8.1,"/images/Sri_Venkateswara_University_College_of_Engineering,_Tirupati.png"
"Vignan’s Foundation for Science, Technology, and Research, ",Andhra pradesh,Engineering,"2,50,000","1,10,000",8.2,8.2,8.4,8.5,8.2,7.7,8.4,"/images/Vignan’s_Foundation_for_Science,_Technology,_and_Research,.png"
"JNTUK University College of Engineering, Kakinada, East ",Andhra pradesh,Engineering,"10,000","30,000",7.7,8,7.1,7.8,8.2,7,8.3,"/images/JNTUK_University_College_of_Engineering,_Kakinada,_East.png"
Sree Vidyanikethan Engineering College ,Andhra pradesh,Engineering,"2,80,000","76,850",8.5,8.4,8.5,8.3,8.8,8.4,8.6,/images/Sree_Vidyanikethan_Engineering_College.png
G. Pulla Reddy Engineering College ,Andhra pradesh,Engineering,"80,000","80,000",8.3,8.5,7.7,8.5,8.5,8.2,8.4,/images/G._Pulla_Reddy_Engineering_College.png
Sri Venkateswara College of Engineering and Technology ,Andhra pradesh,Engineering,"89,350","75,000",7.9,8.3,7.9,8,8.2,7.3,7.5,/images/Sri_Venkateswara_College_of_Engineering_and_Technology.png
Velagapudi Ramakrishna Siddhartha Engineering College ,Andhra pradesh,Engineering,"71,050","70,000",8.2,8.6,7.6,8.4,8.4,8.2,8.1,/images/Velagapudi_Ramakrishna_Siddhartha_Engineering_College.png
Shri Vishnu Engineering College for Women ,Andhra pradesh,Engineering,"95,000","55,000",8.8,8.7,8.6,8.5,9.3,8.8,9,/images/Shri_Vishnu_Engineering_College_for_Women.png
"JNTUA College of Engineering, Ananthapur ",Andhra pradesh,Engineering,"25,000","38,750",7,7.1,7.3,6.7,7.5,6.3,7.3,"/images/JNTUA_College_of_Engineering,_Ananthapur.png"
Sagi Ramakrishnam Raju Engineering College ,Andhra pradesh,Engineering,"30,000","57,000",8.2,8.5,7.5,8.4,8.3,8.2,8.3,/images/Sagi_Ramakrishnam_Raju_Engineering_College.png
Gayatri Vidya Parishad College of Engineering ,Andhra pradesh,Engineering,"2,76,000","1,00,000",7.7,8.3,6.8,8,7.3,8.1,7.4,/images/Gayatri_Vidya_Parishad_College_of_Engineering.png
Jawaharlal Nehru Technological University ,Andhra pradesh,Engineering,"1,00,000",--,7.4,7.7,6.8,7.1,7.7,7.1,7.8,/images/Jawaharlal_Nehru_Technological_University.png
Indian Institute of Technology Tirupati,Andhra pradesh,Engineering,"16,950","78,218",8.6,9,8.1,8.8,8.7,8.2,8.9,/images/Indian_Institute_of_Technology_Tirupati.png
Prasad V. Potluri Siddhartha Institute of Technology ,Andhra pradesh,Engineering,"2,80,000","1,40,000",7.9,8.1,7.3,8.1,8.1,7.9,7.8,/images/Prasad_V._Potluri_Siddhartha_Institute_of_Technology.png
Centurion University of Technology and Management ,Andhra pradesh,Engineering,"1,25,000","60,000",7.8,8,7.2,8.3,7.6,7.4,8.3,/images/Centurion_University_of_Technology_and_Management.png
Aditya Engineering College ,Andhra pradesh,Engineering,"72,000","29,500",7.8,7.9,7.4,7.8,8.5,7.4,7.9,/images/Aditya_Engineering_College.png
Bapatla Engineering College ,Andhra pradesh,Engineering,"75,000","90,000",7.5,7.8,7.3,7.7,8.2,6.5,7.7,/images/Bapatla_Engineering_College.png
Gudlavalleru Engineering College ,Andhra pradesh,Engineering,"81,600","74,850",8.2,8.5,7.7,8.4,8.7,7.5,8.1,/images/Gudlavalleru_Engineering_College.png
Sri Venkateswara College of Engineering ,Andhra pradesh,Engineering,"80,000","75,000",8.3,8.3,8,8.1,9,7.8,8.5,/images/Sri_Venkateswara_College_of_Engineering.png
Sri Vasavi Engineering College ,Andhra pradesh,Engineering,"1,89,000","60,850",7.9,8.1,7.4,8,8.3,7.6,7.8,/images/Sri_Vasavi_Engineering_College.png
Indian Institute of Information Technology Sri City ,Andhra pradesh,Engineering,"1,03,000","2,71,000",7,7.9,6.4,7.1,6.9,7.3,6.4,/images/Indian_Institute_of_Information_Technology_Sri_City.png
National Institute of Technology Andhra pradesh,Andhra pradesh,Engineering,"1,87,500","1,00,000",7.2,7.9,6.6,7.5,6.9,6.9,7.2,/images/National_Institute_of_Technology_Andhra_pradesh.png
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Andhra pradesh,Engineering,"39,000","96,000",8.2,8.4,7.6,8.1,8.9,7.7,8.5,"/images/Rajiv_Gandhi_University_of_Knowledge_Technologies_-[RGUKT],.png"
Raghu Engineering College ,Andhra pradesh,Engineering,"85,000","57,000",8.1,8.3,7.1,8.1,8.4,8.5,8,/images/Raghu_Engineering_College.png
Indian Institute of Information Technology Design and ,Andhra pradesh,Engineering,"1,44,600","67,500",7.4,7.9,7.6,8,6.7,7.2,7.2,/images/Indian_Institute_of_Information_Technology_Design_and.png
Rajeev Gandhi Memorial College of Engineering and ,Andhra pradesh,Engineering,"69,100","62,800",7.4,7.8,7.2,7.6,8,6.2,7.4,/images/Rajeev_Gandhi_Memorial_College_of_Engineering_and.png
VIT University ,Andhra pradesh,Engineering,"1,98,000","1,93,000",8.2,8.3,7.9,8.3,8.1,8.4,8.1,/images/VIT_University.png
National Institute of Technology Suratkhal,Karnataka,Engineering,"1,52,730","1,00,355",8.4,8.7,7.2,8.2,8.4,8.9,8.9,/images/National_Institute_of_Technology_Suratkhal.png
Manipal Institute of Technology ,Karnataka,Engineering,"3,35,000","2,10,000",8.7,8.5,8.5,8.1,9.4,8.1,9.3,/images/Manipal_Institute_of_Technology.png
R V College of Engineering ,Karnataka,Engineering,"3,50,000","37,700",8.5,8.7,7.9,8.2,8.6,9,8.4,/images/R_V_College_of_Engineering.png
Ramaiah Institute of Technology ,Karnataka,Engineering,"86,226","96,570",8.4,8.5,7.8,8.3,8.7,8.3,8.6,/images/Ramaiah_Institute_of_Technology.png
International Institute of Information Technology ,Karnataka,Engineering,"1,64,000","3,24,000",8.7,9.2,8.5,9.1,8.8,8.9,7.6,/images/International_Institute_of_Information_Technology.png
BMS College of Engineering ,Karnataka,Engineering,"2,29,110","26,800",8.2,8.4,8,8,8,8.3,8.7,/images/BMS_College_of_Engineering.png
Siddaganga Institute of Technology ,Karnataka,Engineering,"79,475","92,975",7.8,8.1,7.2,7.7,8.1,8,7.6,/images/Siddaganga_Institute_of_Technology.png
New Horizon College of Engineering ,Karnataka,Engineering,"2,50,000","75,000",8,8,7.6,8.1,8.3,7.8,8.2,/images/New_Horizon_College_of_Engineering.png
"Faculty of Engineering and Technology, Jain University ",Karnataka,Engineering,"1,97,500","85,000",8.1,8,7.9,8,8.3,7.7,8.5,"/images/Faculty_of_Engineering_and_Technology,_Jain_University.png"
Sri Jayachamarajendra College of Engineering ,Karnataka,Engineering,"4,75,000","1,40,000",8.3,8.4,7.6,7.8,8.5,8.7,8.6,/images/Sri_Jayachamarajendra_College_of_Engineering.png
